"Symbol";"BuyDate";"SellDate";"SellAtAgeDays";"OriginalBuyQuantity";"SellQuantity";"TotalSellQuantity";"AdjustedOriginalBuyQuantity";"AdjustedSellQuantity";"AdjustedTotalSellQuantity";"OriginalBuyAmount";"BuyAmount";"SellAmount";"TotalSellAmount";"BuyAmountPerShare";"SellAmountPerShare";"AdjustedBuyAmountPerShare";"AdjustedSellAmountPerShare";"Profit";"ProfitPercent"
"AAAD";"16.11.2019 15:12:06";"22.09.2020 15:31:56";"311";"15";"15";"30";"15";"15";"30";"1161,00";"1161,00";"1121,400";"2242,80";"77,40";"74,76";"77,40";"74,76";"-39,60";"-0,034108527131782945"
"AAAD";"19.03.2020 16:26:03";"22.09.2020 15:31:56";"187";"15";"15";"30";"15";"15";"30";"1038,90";"1038,90";"1121,400";"2242,80";"69,26";"74,76";"69,26";"74,76";"82,50";"0,07941091539127924"
"AAAH";"24.06.2020 15:10:43";"09.07.2020 11:55:01";"15";"15";"15";"15";"15";"15";"15";"286,20";"286,20";"152,10";"152,10";"19,08";"10,14";"19,08";"10,14";"-134,10";"-0,46855345911949686"
"AAAI";"25.03.2020 15:40:57";"22.09.2020 15:31:26";"181";"31";"31";"182,43137254";"31";"31";"182,43137254";"704,01";"704,01";"553,66000000000000000000000012";"3258,2243135644";"22,71";"17,86";"22,71";"17,86";"-150,35";"-0,21356230735358875"
"AAAI";"20.05.2020 18:22:47";"22.09.2020 15:31:26";"125";"30";"30";"182,43137254";"30";"30";"182,43137254";"530,40";"530,40";"535,79999999999999999999999994";"3258,2243135644";"17,68";"17,86";"17,68";"17,86";"5,40";"0,010180995475113122"
"AAAI";"22.05.2020 14:27:53";"22.09.2020 15:31:26";"123";"22";"22";"182,43137254";"22";"22";"182,43137254";"382,36";"382,36";"392,92000000000000000000000011";"3258,2243135644";"17,38";"17,86";"17,38";"17,86";"10,56";"0,027617951668584582"
"AAAI";"29.05.2020 17:12:57";"22.09.2020 15:31:26";"116";"21";"21";"182,43137254";"21";"21";"182,43137254";"367,29";"367,29";"375,05999999999999999999999993";"3258,2243135644";"17,49";"17,86";"17,49";"17,86";"7,77";"0,02115494568324757"
"AAAI";"16.06.2020 11:55:11";"22.09.2020 15:31:26";"98";"78,43137254";"78,43137254";"182,43137254";"78,43137254";"78,43137254";"182,43137254";"1439,9999998344";"1439,9999998344";"1400,7843135643999999999999999";"3258,2243135644";"18,36";"17,86";"18,36";"17,86";"-39,2156862700";"-0,027233115468409588"
"AAAJ";"22.11.2019 13:11:20";"03.10.2020 15:24:57";"316";"10";"0,77614484";"0,77614484";"50";"0,77614484";"0,77614484";"2496,00";"38,745150412800";"187,1518052692";"187,1518052692";"249,60";"241,13";"49,92";"241,13";"148,4066548564";"3,8303285256410255"
"AAAJ";"22.11.2019 13:11:20";"07.10.2020 13:27:30";"320";"10";"7";"7";"50";"7";"7";"2496,00";"349,4400";"1604,47";"1604,47";"249,60";"229,21";"49,92";"229,21";"1255,03";"3,5915464743589745"
"AAAJ";"22.11.2019 13:11:20";"07.10.2020 13:28:43";"320";"10";"2,22385516";"145";"50";"42,22385516";"145";"2496,00";"2107,814849587200";"9686,574612255599999999999999";"33264,45";"249,60";"229,41";"49,92";"229,41";"7578,7597626684";"3,595552884615385"
"AAAJ";"22.11.2019 13:45:30";"07.10.2020 13:28:43";"320";"6";"6";"145";"30";"30";"145";"1663,20";"1663,20";"6882,2999999999999999999999993";"33264,45";"277,20";"229,41";"55,44";"229,41";"5219,10";"3,137987012987013"
"AAAJ";"23.01.2020 17:50:32";"07.10.2020 13:28:43";"258";"2";"2";"145";"10";"10";"145";"392,18";"392,18";"2294,0999999999999999999999998";"33264,45";"196,09";"229,41";"39,218";"229,41";"1901,920";"4,849609873017492"
"AAAJ";"25.03.2020 15:36:32";"07.10.2020 13:28:43";"196";"2";"2";"145";"10";"10";"145";"685,92";"685,92";"2294,0999999999999999999999998";"33264,45";"342,96";"229,41";"68,592";"229,41";"1608,180";"2,344559132260322"
"AAAJ";"09.07.2020 11:55:07";"07.10.2020 13:28:43";"90";"10,11271982";"10,11271982";"145";"10,11271982";"10,11271982";"145";"1475,9514577290";"1475,9514577290";"2319,9590539062000000000000016";"33264,45";"145,95";"229,41";"145,95";"229,41";"844,0075961772";"0,5718396711202467"
"AAAJ";"02.09.2020 12:55:30";"07.10.2020 13:28:43";"35";"10,86342502";"10,86342502";"145";"10,86342502";"10,86342502";"145";"1799,9608915638";"1799,9608915638";"2492,1783338382000000000000014";"33264,45";"165,69";"229,41";"165,69";"229,41";"692,2174422744";"0,3845736013036393"
"AAAJ";"22.09.2020 15:36:56";"07.10.2020 13:28:43";"15";"15";"15";"145";"15";"15";"145";"3384,45";"3384,45";"3441,1499999999999999999999997";"33264,45";"225,63";"229,41";"225,63";"229,41";"56,70";"0,016753091344236137"
"AAAJ";"22.09.2020 15:37:16";"07.10.2020 13:28:43";"15";"9";"9";"145";"9";"9";"145";"2030,04";"2030,04";"2064,6900000000000000000000005";"33264,45";"225,56";"229,41";"225,56";"229,41";"34,65";"0,01706862918957262"
"AAAJ";"22.09.2020 15:45:17";"07.10.2020 13:28:43";"15";"7,8";"7,8";"145";"7,8";"7,8";"145";"1760,070";"1760,070";"1789,3979999999999999999999986";"33264,45";"225,65";"229,41";"225,65";"229,41";"29,328";"0,016662973631730558"
"AAAL";"22.11.2019 17:14:29";"25.03.2020 15:37:51";"124";"55";"55";"59";"55";"55";"59";"729,85";"729,85";"618,19999999999999999999999997";"663,16";"13,27";"11,24";"13,27";"11,24";"-111,65";"-0,15297663903541825"
"AAAL";"17.12.2019 15:07:47";"25.03.2020 15:37:51";"99";"4";"4";"59";"4";"4";"59";"44,88";"44,88";"44,960000000000000000000000027";"663,16";"11,22";"11,24";"11,22";"11,24";"0,08";"0,0017825311942959003"
"AAAM";"16.11.2019 15:15:52";"21.04.2020 15:39:40";"157";"40";"40";"65";"40";"40";"65";"1236,40";"1236,40";"1143,6000000000000000000000000";"1858,35";"30,91";"28,59";"30,91";"28,59";"-92,80";"-0,07505661598188289"
"AAAM";"22.11.2019 13:47:31";"21.04.2020 15:39:40";"151";"25";"25";"65";"25";"25";"65";"772,50";"772,50";"714,74999999999999999999999997";"1858,35";"30,90";"28,59";"30,90";"28,59";"-57,75";"-0,07475728155339806"
"AAAN";"16.11.2019 15:26:09";"16.04.2020 16:51:02";"152";"45";"45";"100";"45";"45";"100";"951,30";"951,30";"730,8000";"1624,00";"21,14";"16,24";"21,14";"16,24";"-220,50";"-0,23178807947019867"
"AAAN";"04.12.2019 15:48:38";"16.04.2020 16:51:02";"134";"20";"20";"100";"20";"20";"100";"429,20";"429,20";"324,800";"1624,00";"21,46";"16,24";"21,46";"16,24";"-104,40";"-0,24324324324324326"
"AAAN";"20.12.2019 15:34:11";"16.04.2020 16:51:02";"118";"30";"30";"100";"30";"30";"100";"621,30";"621,30";"487,200";"1624,00";"20,71";"16,24";"20,71";"16,24";"-134,10";"-0,21583775953645581"
"AAAN";"23.01.2020 17:54:05";"16.04.2020 16:51:02";"84";"19";"5";"100";"19";"5";"100";"327,56";"86,19999999999999999999999999";"81,2000";"1624,00";"17,24";"16,24";"17,24";"16,24";"-5,00";"-0,058004640371229696"
"AAAN";"23.01.2020 17:54:05";"24.10.2020 17:12:24";"275";"19";"14";"59";"19";"14";"59";"327,56";"241,36000000000000000000000001";"254,94000000000000000000000005";"1074,39";"17,24";"18,21";"17,24";"18,21";"13,58";"0,05626450116009281"
"AAAN";"19.03.2020 16:27:43";"24.10.2020 17:12:24";"219";"45";"45";"59";"45";"45";"59";"775,80";"775,80";"819,4500000000000000000000000";"1074,39";"17,24";"18,21";"17,24";"18,21";"43,65";"0,05626450116009281"
"AAAO";"16.11.2019 15:19:30";"15.04.2020 15:35:04";"151";"25";"25";"25";"25";"25";"25";"1200,75";"1200,75";"840,50";"840,50";"48,03";"33,62";"48,03";"33,62";"-360,25";"-0,300020820320633"
"AAAP";"16.11.2019 15:13:44";"25.03.2020 15:33:49";"130";"15";"15";"23";"15";"15";"23";"1719,00";"1719,00";"1200,9000000000000000000000000";"1841,38";"114,60";"80,06";"114,60";"80,06";"-518,10";"-0,30139616055846424"
