"Symbol";"BuyDate";"AgeDays";"BuyQuantity";"AdjustedBuyQuantity";"Quantity";"AdjustedQuantity";"BuyAmount";"Amount";"AmountPerShare";"AdjustedAmountPerShare"
"AAAE";"22.11.2019 17:15:20";"790";"50";"50";"50";"50";"1079,50";"1079,50";"21,59";"21,59"
"AAAE";"25.12.2019 16:24:58";"757";"10";"10";"10";"10";"212,40";"212,40";"21,24";"21,24"
"AAAE";"16.04.2020 16:51:52";"644";"24";"24";"24";"24";"671,28";"671,28";"27,97";"27,97"
"AAAG";"16.11.2019 15:24:48";"796";"20";"20";"20";"20";"1728,40";"1728,40";"86,42";"86,42"
"AAAK";"30.11.2019 15:44:24";"782";"3";"3";"3";"3";"1635,45";"1635,45";"545,15";"545,15"
"AAAK";"20.12.2019 15:31:10";"762";"2";"2";"2";"2";"965,74";"965,74";"482,87";"482,87"
"AAAK";"10.06.2020 11:55:27";"590";"1,89861401";"1,89861401";"1,89861401";"1,89861401";"1080,0075934484";"1080,0075934484";"568,84";"568,84"
"AAAQ";"04.12.2019 15:50:09";"778";"5";"5";"5";"5";"615,60";"615,60";"123,12";"123,12"
"AAAQ";"23.01.2020 17:52:15";"728";"4";"4";"4";"4";"386,24";"386,24";"96,56";"96,56"
"AAAT";"04.12.2019 15:48:08";"778";"22";"22";"8";"8";"1672,44";"608,15999999999999999999999994";"76,02";"76,02"
"AAAT";"23.01.2020 17:51:21";"728";"6";"6";"6";"6";"375,96";"375,96";"62,66";"62,66"
"AAAU";"29.05.2020 17:15:35";"601";"1";"1";"1";"1";"29,45";"29,45";"29,45";"29,45"
"AAAW";"25.09.2020 13:59:51";"482";"1";"1";"1";"1";"55,08";"55,08";"55,08";"55,08"
